MN997409.1,MN997409.1,100.000,29882,0,0,1,29882,1,29882,0.0,55182
MN997409.1,MT020881.1,99.990,29882,3,0,1,29882,1,29882,0.0,55166
MN997409.1,MT020880.1,99.990,29882,3,0,1,29882,1,29882,0.0,55166
MN997409.1,MN985325.1,99.990,29882,3,0,1,29882,1,29882,0.0,55166
MN997409.1,MN975262.1,99.990,29882,3,0,1,29882,1,29882,0.0,55166
MN997409.1,LC522974.1,99.993,29878,2,0,4,29881,1,29878,0.0,55164
MN997409.1,MT049951.1,99.987,29882,4,0,1,29882,1,29882,0.0,55160
MN997409.1,MT019532.1,99.987,29882,4,0,1,29882,1,29882,0.0,55160
MN997409.1,MN996528.1,99.987,29882,4,0,1,29882,1,29882,0.0,55160
MN997409.1,NC_045512.2,99.987,29882,4,0,1,29882,1,29882,0.0,55160
MN997409.1,MN908947.3,99.987,29882,4,0,1,29882,1,29882,0.0,55160
MN997409.1,LC522975.1,99.990,29878,3,0,4,29881,1,29878,0.0,55158
MN997409.1,LC522973.1,99.990,29878,3,0,4,29881,1,29878,0.0,55158
MN997409.1,MN988669.1,99.987,29881,4,0,2,29882,1,29881,0.0,55158
MN997409.1,MN988668.1,99.987,29881,4,0,2,29882,1,29881,0.0,55158
MN997409.1,MT019533.1,99.983,29882,5,0,1,29882,1,29882,0.0,55155
MN997409.1,MT019531.1,99.983,29882,5,0,1,29882,1,29882,0.0,55155
MN997409.1,MT066175.1,99.993,29870,2,0,1,29870,1,29870,0.0,55149
MN997409.1,MT027064.1,99.980,29882,6,0,1,29882,1,29882,0.0,55149
MN997409.1,MN994468.1,99.980,29882,6,0,1,29882,1,29882,0.0,55149
MN997409.1,MT044257.1,99.977,29882,7,0,1,29882,1,29882,0.0,55143
MN997409.1,MT027063.1,99.977,29882,7,0,1,29882,1,29882,0.0,55143
MN997409.1,MT027062.1,99.977,29882,7,0,1,29882,1,29882,0.0,55143
MN997409.1,MT019529.1,99.977,29882,7,0,1,29882,1,29882,0.0,55143
MN997409.1,MN994467.1,99.977,29882,7,0,1,29882,1,29882,0.0,55143
MN997409.1,LR757995.1,99.993,29866,2,0,17,29882,2,29867,0.0,55142
MN997409.1,MN988713.1,99.967,29882,10,0,1,29882,1,29882,0.0,55142
MN997409.1,MT039888.1,99.970,29882,9,0,1,29882,1,29882,0.0,55134
MN997409.1,MT039887.1,99.973,29882,5,1,1,29882,1,29879,0.0,55134
MN997409.1,LC522972.1,99.973,29878,8,0,4,29881,1,29878,0.0,55130
MN997409.1,MT066176.1,99.980,29870,6,0,1,29870,1,29870,0.0,55127
MN997409.1,MT019530.1,99.967,29882,10,0,1,29882,1,29882,0.0,55127
MN997409.1,LR757996.1,99.987,29862,4,0,21,29882,1,29862,0.0,55123
MN997409.1,MT039890.1,99.956,29882,13,0,1,29882,1,29882,0.0,55110
MN997409.1,MN996530.1,99.987,29854,4,0,15,29868,1,29854,0.0,55108
MN997409.1,LR757998.1,99.980,29857,6,0,26,29882,1,29857,0.0,55103
MN997409.1,MN996531.1,99.980,29857,6,0,14,29870,1,29857,0.0,55103
MN997409.1,MN938384.1,99.997,29838,1,0,33,29870,1,29838,0.0,55095
MN997409.1,MN996529.1,99.980,29852,6,0,13,29864,1,29852,0.0,55094
MN997409.1,MT007544.1,99.943,29882,7,1,1,29882,1,29872,0.0,55079
MN997409.1,MT039873.1,99.987,29833,4,0,4,29836,1,29833,0.0,55070
MN997409.1,MN996527.1,99.980,29825,6,0,34,29858,1,29825,0.0,55044
MN997409.1,MT044258.1,99.906,29882,4,2,1,29882,1,29858,0.0,55005
MN997409.1,LC521925.1,99.900,29872,6,1,4,29875,1,29848,0.0,54975
MN997409.1,MT020781.1,99.838,21614,35,0,13,21626,1,21614,0.0,39781
MN997409.1,MT020781.1,100.000,4099,0,0,21708,25806,21696,25794,0.0,7570
MN997409.1,MT020781.1,99.950,4004,2,0,25856,29859,25844,29847,0.0,7384
MN997409.1,MG772933.1,89.116,21729,2278,68,6,21696,6,21685,0.0,26943
MN997409.1,MG772933.1,89.000,6791,719,23,23075,29857,22992,29762,0.0,8377
MN997409.1,MG772934.1,88.655,18272,2036,34,3329,21581,3247,21500,0.0,22223
MN997409.1,MG772934.1,89.094,6785,706,26,23084,29857,22931,29692,0.0,8399
MN997409.1,MG772934.1,92.726,3217,227,6,6,3219,6,3218,0.0,4638
MN997409.1,AY394996.1,82.344,17716,2941,169,3956,21577,3868,21490,0.0,15213
MN997409.1,AY394996.1,80.100,5417,986,68,22539,27910,22414,27783,0.0,3947
MN997409.1,AY394996.1,90.067,1641,144,12,28257,29882,28035,29671,0.0,2109
MN997409.1,AY394996.1,79.283,1926,362,31,16,1923,1,1907,0.0,1312
MN997409.1,AY394997.1,82.344,17716,2941,169,3956,21577,3868,21490,0.0,15213
MN997409.1,AY394997.1,80.100,5417,986,68,22539,27910,22414,27783,0.0,3947
MN997409.1,AY394997.1,90.067,1641,144,12,28257,29882,28035,29671,0.0,2109
MN997409.1,AY394997.1,79.283,1926,362,31,16,1923,1,1907,0.0,1312
MN997409.1,AY395003.1,82.344,17716,2941,169,3956,21577,3832,21454,0.0,15213
MN997409.1,AY395003.1,80.100,5417,986,68,22539,27910,22378,27747,0.0,3947
MN997409.1,AY395003.1,90.067,1641,144,12,28257,29882,27999,29635,0.0,2109
MN997409.1,AY395003.1,79.173,1887,359,28,55,1923,1,1871,0.0,1277
MN997409.1,AY304486.1,82.332,17716,2943,169,3956,21577,3868,21490,0.0,15202
MN997409.1,AY304486.1,80.022,5416,992,67,22539,27910,22414,27783,0.0,3925
MN997409.1,AY304486.1,90.018,1633,144,12,28250,29867,28110,29738,0.0,2095
MN997409.1,AY304486.1,79.283,1926,362,31,16,1923,1,1907,0.0,1312
MN997409.1,AY304488.1,82.332,17716,2943,169,3956,21577,3868,21490,0.0,15202
MN997409.1,AY304488.1,80.059,5416,990,67,22539,27910,22414,27783,0.0,3936
